Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_add, 8.1355e-05, 7.4634e-05, 7.2648e-05, 7.0798e-05, 5.1002e-05, 25, 25, 25, 1 , 2
fO3native_add, 8.264e-05, 7.9972e-05, 6.3249e-05, 9.7017e-05, 8.5775e-05, 50, 50, 50, 1 , 2
fO3native_add, 0.000123666, 0.000180642, 0.00012504, 0.000111761, 0.000117754, 100, 100, 100, 1 , 2
fO3native_add, 0.0012132, 0.00110596, 0.00129718, 0.000963939, 0.00106876, 500, 500, 500, 1 , 2
fO3native_add, 0.00377294, 0.00356713, 0.00268897, 0.00364777, 0.00499502, 1000, 1000, 1000, 1 , 2
fO3native_add, 0.0212633, 0.0199192, 0.0193979, 0.0188384, 0.0198256, 2000, 2000, 2000, 1 , 2
fO3native_add, 0.0717023, 0.0826671, 0.074943, 0.0713244, 0.0713056, 4000, 4000, 4000, 1 , 2
fO3native_sub, 8.6985e-05, 7.2989e-05, 9.8968e-05, 8.1911e-05, 4.541e-05, 10, 10, 10, 2 , 2
fO3native_sub, 7.0577e-05, 5.0531e-05, 7.1384e-05, 7.9763e-05, 6.4896e-05, 25, 25, 25, 2 , 2
fO3native_sub, 8.5408e-05, 6.4566e-05, 8.1591e-05, 8.7143e-05, 6.0137e-05, 50, 50, 50, 2 , 2
fO3native_sub, 9.1619e-05, 0.000120893, 0.000132041, 0.000109514, 0.000116447, 100, 100, 100, 2 , 2
fO3native_sub, 0.00105437, 0.00119144, 0.000967453, 0.000990498, 0.000938483, 500, 500, 500, 2 , 2
fO3native_sub, 0.00379955, 0.00363912, 0.00280118, 0.00287962, 0.00361127, 1000, 1000, 1000, 2 , 2
fO3native_sub, 0.0272863, 0.0195082, 0.0169081, 0.0196683, 0.0193766, 2000, 2000, 2000, 2 , 2
fO3native_sub, 0.073928, 0.0723072, 0.0711899, 0.0709968, 0.0709165, 4000, 4000, 4000, 2 , 2
fO3native_matmul, 0.000428938, 0.000403589, 0.000376913, 0.000349245, 0.000447737, 10, 10, 10, 3 , 2
