Config, run1, run2, run3, run4, run5, M, N, R, operation
O2_sub_mul, 6.0595e-05, 6.334e-05, 5.9487e-05, 6.2625e-05, 5.9728e-05, 100, 100, 100, 6
O2_sub_mul, 0.00178636, 0.00172844, 0.00191087, 0.00178853, 0.00173179, 500, 500, 500, 6
O2_sub_mul, 0.00575094, 0.00509722, 0.00576642, 0.00524799, 0.00521456, 1000, 1000, 1000, 6
O2_sub_mul, 0.0317278, 0.0337173, 0.0363922, 0.0339592, 0.0335562, 2000, 2000, 2000, 6
O2_sub_mul, 0.139096, 0.135382, 0.13521, 0.136429, 0.133, 4000, 4000, 4000, 6
O3_add, 2.5838e-05, 2.2645e-05, 2.5064e-05, 3.0297e-05, 2.5558e-05, 100, 100, 100, 1
O3_add, 0.000836306, 0.000796589, 0.000872941, 0.000743231, 0.000877897, 500, 500, 500, 1
O3_add, 0.00216403, 0.00215313, 0.0022778, 0.0021681, 0.00248755, 1000, 1000, 1000, 1
O3_add, 0.0151663, 0.0156469, 0.014526, 0.0140117, 0.0155045, 2000, 2000, 2000, 1
O3_add, 0.0598943, 0.0599655, 0.0602585, 0.0605759, 0.0593971, 4000, 4000, 4000, 1
O3_sub, 2.5572e-05, 2.6111e-05, 2.5082e-05, 2.1649e-05, 2.6305e-05, 100, 100, 100, 2
O3_sub, 0.000839229, 0.000855985, 0.000713165, 0.000837835, 0.000742276, 500, 500, 500, 2
O3_sub, 0.00285445, 0.0028725, 0.00225689, 0.00272914, 0.00231413, 1000, 1000, 1000, 2
O3_sub, 0.0151757, 0.0148153, 0.0155819, 0.0175909, 0.0154665, 2000, 2000, 2000, 2
O3_sub, 0.0590687, 0.0608823, 0.0612493, 0.0584317, 0.0596714, 4000, 4000, 4000, 2
O3_matmul, 0.000705886, 0.000732073, 0.00072628, 0.000701344, 0.000736347, 100, 100, 100, 3
O3_matmul, 0.122206, 0.118405, 0.11759, 0.118302, 0.118807, 500, 500, 500, 3
O3_scalar, 3.2549e-05, 2.7706e-05, 2.5179e-05, 2.6197e-05, 2.4309e-05, 100, 100, 100, 4
O3_scalar, 0.000810061, 0.000755855, 0.000694211, 0.000875858, 0.000676051, 500, 500, 500, 4
O3_scalar, 0.0019334, 0.00197829, 0.00206814, 0.00208932, 0.00195907, 1000, 1000, 1000, 4
O3_scalar, 0.00617315, 0.00645071, 0.00700248, 0.00774416, 0.00738272, 2000, 2000, 2000, 4
O3_scalar, 0.0580679, 0.0543406, 0.0556878, 0.0556429, 0.0588516, 4000, 4000, 4000, 4
