Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_sub_mul, 8.5451e-05, 7.5134e-05, 7.6997e-05, 7.233e-05, 6.9566e-05, 100, 100, 100, 6 , 1
fO3native_sub_mul, 0.00186393, 0.00178595, 0.0017417, 0.0017995, 0.00180396, 500, 500, 500, 6 , 1
fO3native_sub_mul, 0.00355012, 0.00373667, 0.00370599, 0.003567, 0.00365314, 1000, 1000, 1000, 6 , 1
fO3native_sub_mul, 0.0125902, 0.014151, 0.0136889, 0.0136504, 0.0141984, 2000, 2000, 2000, 6 , 1
fO3native_sub_mul, 0.0514911, 0.0546959, 0.0540747, 0.0528293, 0.0519593, 4000, 4000, 4000, 6 , 1
fO3native_add, 0.000141616, 0.000124589, 0.000121456, 0.000132993, 0.000124, 10, 10, 10, 1 , 2
fO3native_add, 8.8995e-05, 7.7108e-05, 0.000118231, 8.7954e-05, 9.4534e-05, 25, 25, 25, 1 , 2
fO3native_add, 9.4024e-05, 8.7674e-05, 9.226e-05, 9.1521e-05, 8.9356e-05, 50, 50, 50, 1 , 2
fO3native_add, 0.000128527, 0.000158333, 0.000120433, 0.000121485, 0.000117008, 100, 100, 100, 1 , 2
fO3native_add, 0.000900825, 0.000782223, 0.000889157, 0.000728091, 0.000833382, 500, 500, 500, 1 , 2
fO3native_add, 0.00161119, 0.00173567, 0.00145763, 0.00149315, 0.00168312, 1000, 1000, 1000, 1 , 2
fO3native_add, 0.00525294, 0.00539365, 0.00539426, 0.00553357, 0.00541799, 2000, 2000, 2000, 1 , 2
fO3native_add, 0.0200696, 0.0215219, 0.0198553, 0.0202056, 0.0196886, 4000, 4000, 4000, 1 , 2
fO3native_sub, 0.000138942, 0.000304856, 0.000146804, 0.000115117, 0.000117249, 10, 10, 10, 2 , 2
fO3native_sub, 0.000113342, 0.000110789, 0.000115376, 8.8505e-05, 9.3663e-05, 25, 25, 25, 2 , 2
fO3native_sub, 0.000114185, 0.000117169, 0.000125221, 9.4984e-05, 8.0052e-05, 50, 50, 50, 2 , 2
fO3native_sub, 0.000148247, 0.000131411, 0.000115896, 0.000116687, 0.000113391, 100, 100, 100, 2 , 2
fO3native_sub, 0.000756665, 0.000896328, 0.00085792, 0.000763936, 0.000800251, 500, 500, 500, 2 , 2
fO3native_sub, 0.00161696, 0.00161611, 0.00152426, 0.00161197, 0.00141214, 1000, 1000, 1000, 2 , 2
fO3native_sub, 0.00569719, 0.00550899, 0.00592822, 0.00548245, 0.00589506, 2000, 2000, 2000, 2 , 2
fO3native_sub, 0.0202974, 0.0203733, 0.0204498, 0.020468, 0.0204937, 4000, 4000, 4000, 2 , 2
fO3native_matmul, 0.000127925, 0.000109347, 0.000122508, 0.000130048, 0.000115235, 10, 10, 10, 3 , 2
fO3native_matmul, 0.000102606, 9.168e-05, 8.1104e-05, 9.4053e-05, 8.495e-05, 25, 25, 25, 3 , 2
fO3native_matmul, 0.000111891, 0.000132453, 0.000108345, 0.000115366, 0.000161446, 50, 50, 50, 3 , 2
fO3native_matmul, 0.000245465, 0.000243911, 0.000213945, 0.000208678, 0.000239274, 100, 100, 100, 3 , 2
fO3native_matmul, 0.0120884, 0.0122328, 0.0121084, 0.0122539, 0.0122446, 500, 500, 500, 3 , 2
fO3native_matmul, 0.0942788, 0.0963828, 0.0944821, 0.0983922, 0.0968917, 1000, 1000, 1000, 3 , 2
fO3native_matmul, 0.836549, 0.864378, 0.831655, 0.860613, 0.859878, 2000, 2000, 2000, 3 , 2
fO3native_matmul, 11.1539, 11.1612, 11.3619, 11.1426, 11.1339, 4000, 4000, 4000, 3 , 2
fO3native_scalar, 0.000130879, 0.000130238, 0.000127955, 0.000120093, 0.000121635, 10, 10, 10, 4 , 2
fO3native_scalar, 0.000115636, 0.000102727, 9.2112e-05, 0.00011127, 0.000119111, 25, 25, 25, 4 , 2
fO3native_scalar, 0.000126393, 0.000121485, 9.4275e-05, 0.000103349, 0.000176199, 50, 50, 50, 4 , 2
fO3native_scalar, 0.000122116, 0.000120574, 0.000180205, 0.000135847, 0.00013071, 100, 100, 100, 4 , 2
fO3native_scalar, 0.000889458, 0.000822706, 0.00084429, 0.000843377, 0.000836297, 500, 500, 500, 4 , 2
fO3native_scalar, 0.00138604, 0.00153256, 0.00148649, 0.00166646, 0.00125789, 1000, 1000, 1000, 4 , 2
fO3native_scalar, 0.00481765, 0.00474758, 0.00503463, 0.00482269, 0.00469434, 2000, 2000, 2000, 4 , 2
fO3native_scalar, 0.018821, 0.0175099, 0.0181137, 0.0176065, 0.0181561, 4000, 4000, 4000, 4 , 2
fO3native_transpose, 0.000138511, 0.00019639, 0.000113423, 0.000112622, 7.7418e-05, 10, 10, 10, 5 , 2
fO3native_transpose, 0.00019006, 0.000114224, 0.000107423, 0.000101795, 0.000115547, 25, 25, 25, 5 , 2
fO3native_transpose, 9.2361e-05, 9.2762e-05, 0.000100914, 0.000100845, 8.5851e-05, 50, 50, 50, 5 , 2
fO3native_transpose, 0.000149629, 0.000130058, 0.00011119, 0.000106493, 9.801e-05, 100, 100, 100, 5 , 2
fO3native_transpose, 0.000945192, 0.00080634, 0.000885052, 0.000929558, 0.000758729, 500, 500, 500, 5 , 2
fO3native_transpose, 0.00145428, 0.0015232, 0.00154246, 0.00147139, 0.00167788, 1000, 1000, 1000, 5 , 2
fO3native_transpose, 0.00616689, 0.00598403, 0.00725528, 0.00598364, 0.00723456, 2000, 2000, 2000, 5 , 2
fO3native_transpose, 0.0290635, 0.0253451, 0.0269603, 0.0248827, 0.0244776, 4000, 4000, 4000, 5 , 2
fO3native_sub_mul, 0.000166454, 0.000125221, 0.000119693, 0.000135106, 0.000110549, 10, 10, 10, 6 , 2
fO3native_sub_mul, 8.0803e-05, 8.4759e-05, 0.000125132, 0.000112561, 9.6679e-05, 25, 25, 25, 6 , 2
fO3native_sub_mul, 9.859e-05, 0.000109557, 9.3684e-05, 0.000112571, 0.000105832, 50, 50, 50, 6 , 2
fO3native_sub_mul, 0.000170149, 0.000158172, 0.000153214, 0.000172142, 0.000203301, 100, 100, 100, 6 , 2
fO3native_sub_mul, 0.00212984, 0.00211884, 0.00208678, 0.00177462, 0.00198976, 500, 500, 500, 6 , 2
fO3native_sub_mul, 0.00359874, 0.00388173, 0.00402421, 0.00332572, 0.00347844, 1000, 1000, 1000, 6 , 2
fO3native_sub_mul, 0.0125397, 0.0129532, 0.0114506, 0.0121466, 0.0125376, 2000, 2000, 2000, 6 , 2
fO3native_sub_mul, 0.0471111, 0.0466366, 0.0472752, 0.0465051, 0.0488327, 4000, 4000, 4000, 6 , 2
fO3native_add, 0.000178252, 0.000172223, 0.000197712, 0.000131862, 0.000164972, 10, 10, 10, 1 , 4
fO3native_add, 0.000190642, 0.000139193, 0.000121135, 0.000147476, 0.000129117, 25, 25, 25, 1 , 4
fO3native_add, 0.000138061, 0.000153654, 0.000153795, 0.000132031, 0.000161416, 50, 50, 50, 1 , 4
fO3native_add, 0.000167615, 0.000174256, 0.000181868, 0.000177151, 0.000161988, 100, 100, 100, 1 , 4
fO3native_add, 0.000890861, 0.000874714, 0.000831379, 0.000900694, 0.000863498, 500, 500, 500, 1 , 4
fO3native_add, 0.00145947, 0.00167875, 0.00173769, 0.00147924, 0.00170925, 1000, 1000, 1000, 1 , 4
fO3native_add, 0.00534555, 0.00506079, 0.00527747, 0.00509241, 0.00511502, 2000, 2000, 2000, 1 , 4
fO3native_add, 0.0192516, 0.0177518, 0.0186535, 0.0199897, 0.0201185, 4000, 4000, 4000, 1 , 4
fO3native_sub, 0.000206264, 0.000163088, 0.000171972, 0.000171101, 0.000120413, 10, 10, 10, 2 , 4
fO3native_sub, 0.000128246, 0.000113814, 0.000119592, 0.000120715, 0.000177191, 25, 25, 25, 2 , 4
fO3native_sub, 0.000146233, 0.00033386, 0.000132791, 0.000128246, 0.000153565, 50, 50, 50, 2 , 4
fO3native_sub, 0.000203171, 0.000160695, 0.000169889, 0.000166793, 0.00015687, 100, 100, 100, 2 , 4
fO3native_sub, 0.000874164, 0.000943551, 0.000859162, 0.000790787, 0.000848425, 500, 500, 500, 2 , 4
fO3native_sub, 0.00150708, 0.00169069, 0.00151022, 0.00151694, 0.00153391, 1000, 1000, 1000, 2 , 4
fO3native_sub, 0.00521968, 0.00519278, 0.00609154, 0.00527707, 0.00524881, 2000, 2000, 2000, 2 , 4
fO3native_sub, 0.0182474, 0.0193968, 0.0194392, 0.0204654, 0.0205511, 4000, 4000, 4000, 2 , 4
fO3native_matmul, 0.00017033, 0.000155918, 0.000162668, 0.0001509, 0.000183169, 10, 10, 10, 3 , 4
fO3native_matmul, 0.00016358, 0.000135676, 0.000128797, 0.000142318, 0.000127294, 25, 25, 25, 3 , 4
fO3native_matmul, 0.000215427, 0.000177642, 0.000159284, 0.000208268, 0.000236982, 50, 50, 50, 3 , 4
fO3native_matmul, 0.000234518, 0.000266807, 0.000258706, 0.00025525, 0.000259827, 100, 100, 100, 3 , 4
fO3native_matmul, 0.00702741, 0.00710585, 0.00700041, 0.00703754, 0.00716797, 500, 500, 500, 3 , 4
fO3native_matmul, 0.0495519, 0.0494409, 0.0496616, 0.0495722, 0.0493707, 1000, 1000, 1000, 3 , 4
fO3native_matmul, 0.441006, 0.432013, 0.430104, 0.429302, 0.429307, 2000, 2000, 2000, 3 , 4
fO3native_matmul, 6.1456, 6.14532, 6.13796, 6.2987, 6.13446, 4000, 4000, 4000, 3 , 4
fO3native_scalar, 0.000178962, 0.000187226, 0.000168588, 0.000164561, 0.00011843, 10, 10, 10, 4 , 4
fO3native_scalar, 0.000169599, 0.000176819, 0.0001253, 0.000123939, 0.000130269, 25, 25, 25, 4 , 4
fO3native_scalar, 0.000144772, 0.000132953, 0.000165112, 0.000149589, 0.000134025, 50, 50, 50, 4 , 4
fO3native_scalar, 0.000169439, 0.000161367, 0.000155487, 0.000164723, 0.000199614, 100, 100, 100, 4 , 4
fO3native_scalar, 0.000920444, 0.000823207, 0.000855737, 0.000857228, 0.00087835, 500, 500, 500, 4 , 4
fO3native_scalar, 0.00132664, 0.00143076, 0.0014861, 0.0011193, 0.00149194, 1000, 1000, 1000, 4 , 4
fO3native_scalar, 0.00448894, 0.00467732, 0.00464828, 0.00463776, 0.00442488, 2000, 2000, 2000, 4 , 4
fO3native_scalar, 0.0169773, 0.0176093, 0.0180126, 0.0172367, 0.0172357, 4000, 4000, 4000, 4 , 4
fO3native_transpose, 0.000193245, 0.000169469, 0.000185823, 0.000332878, 0.000168668, 10, 10, 10, 5 , 4
fO3native_transpose, 0.000163529, 0.000191993, 0.000128938, 0.000120775, 0.000145412, 25, 25, 25, 5 , 4
fO3native_transpose, 0.000169768, 0.000135738, 0.000145363, 0.000132813, 0.000173254, 50, 50, 50, 5 , 4
fO3native_transpose, 0.000162258, 0.000166744, 0.000169279, 0.000157871, 0.000179353, 100, 100, 100, 5 , 4
fO3native_transpose, 0.000888958, 0.000911972, 0.000945493, 0.000934015, 0.000918703, 500, 500, 500, 5 , 4
fO3native_transpose, 0.00154161, 0.00153138, 0.00160554, 0.00146257, 0.00131609, 1000, 1000, 1000, 5 , 4
fO3native_transpose, 0.00567124, 0.00588662, 0.00540596, 0.00512084, 0.00543118, 2000, 2000, 2000, 5 , 4
fO3native_transpose, 0.0200866, 0.0199117, 0.0201853, 0.0213962, 0.0205744, 4000, 4000, 4000, 5 , 4
fO3native_sub_mul, 0.00020254, 0.000197883, 0.00017708, 0.000167236, 0.000127805, 10, 10, 10, 6 , 4
fO3native_sub_mul, 0.000329774, 0.000136227, 0.000145362, 0.000126994, 0.000174827, 25, 25, 25, 6 , 4
fO3native_sub_mul, 0.000158131, 0.000168568, 0.000193205, 0.000151982, 0.000184381, 50, 50, 50, 6 , 4
fO3native_sub_mul, 0.000194346, 0.00024843, 0.000208299, 0.000227467, 0.000217932, 100, 100, 100, 6 , 4
fO3native_sub_mul, 0.00196752, 0.00183565, 0.00219583, 0.00208727, 0.00185694, 500, 500, 500, 6 , 4
fO3native_sub_mul, 0.00383, 0.00363854, 0.00378377, 0.00386918, 0.0034953, 1000, 1000, 1000, 6 , 4
fO3native_sub_mul, 0.0114435, 0.0109224, 0.012141, 0.0111256, 0.0119352, 2000, 2000, 2000, 6 , 4
fO3native_sub_mul, 0.0433354, 0.0427963, 0.0440641, 0.0434947, 0.0446165, 4000, 4000, 4000, 6 , 4
fO3native_add, 0.000258814, 0.000267378, 0.000220426, 0.000252285, 0.000249291, 10, 10, 10, 1 , 8
fO3native_add, 0.000227017, 0.000244964, 0.000235329, 0.000210692, 0.000218074, 25, 25, 25, 1 , 8
fO3native_add, 0.000257332, 0.000237102, 0.00022938, 0.000233466, 0.000230351, 50, 50, 50, 1 , 8
fO3native_add, 0.000249682, 0.000256932, 0.00024294, 0.000299126, 0.0002492, 100, 100, 100, 1 , 8
fO3native_add, 0.0010456, 0.00101642, 0.000943149, 0.00103707, 0.000926675, 500, 500, 500, 1 , 8
fO3native_add, 0.00169099, 0.00177907, 0.00168496, 0.00179858, 0.00160051, 1000, 1000, 1000, 1 , 8
fO3native_add, 0.00508232, 0.0051786, 0.00525621, 0.00525277, 0.00520599, 2000, 2000, 2000, 1 , 8
fO3native_add, 0.0181496, 0.0185296, 0.0182979, 0.0192261, 0.0188766, 4000, 4000, 4000, 1 , 8
fO3native_sub, 0.000328362, 0.00028869, 0.000265265, 0.000283122, 0.000239345, 10, 10, 10, 2 , 8
fO3native_sub, 0.00026259, 0.000277473, 0.00025486, 0.000287268, 0.000283642, 25, 25, 25, 2 , 8
fO3native_sub, 0.000247157, 0.000271054, 0.000252125, 0.000267187, 0.000255781, 50, 50, 50, 2 , 8
fO3native_sub, 0.000288631, 0.000265886, 0.000281991, 0.000282041, 0.00030113, 100, 100, 100, 2 , 8
fO3native_sub, 0.00100368, 0.00101556, 0.00108686, 0.000948929, 0.000988749, 500, 500, 500, 2 , 8
fO3native_sub, 0.00170712, 0.0017842, 0.00171053, 0.00175494, 0.00182589, 1000, 1000, 1000, 2 , 8
fO3native_sub, 0.00528607, 0.00534901, 0.00512986, 0.00525407, 0.00530908, 2000, 2000, 2000, 2 , 8
fO3native_sub, 0.0180101, 0.0187787, 0.0183426, 0.0182965, 0.0182425, 4000, 4000, 4000, 2 , 8
fO3native_matmul, 0.000279327, 0.000270994, 0.000253557, 0.000235779, 0.000280108, 10, 10, 10, 3 , 8
fO3native_matmul, 0.000253838, 0.000291374, 0.00023584, 0.000303213, 0.000285695, 25, 25, 25, 3 , 8
fO3native_matmul, 0.000282872, 0.000264413, 0.000278776, 0.000265384, 0.000286217, 50, 50, 50, 3 , 8
fO3native_matmul, 0.000306778, 0.00033404, 0.000308281, 0.000343284, 0.000356964, 100, 100, 100, 3 , 8
fO3native_matmul, 0.00460096, 0.00454493, 0.00450422, 0.0051462, 0.00467779, 500, 500, 500, 3 , 8
fO3native_matmul, 0.0263223, 0.0263446, 0.0264843, 0.0263966, 0.02693, 1000, 1000, 1000, 3 , 8
fO3native_matmul, 0.226082, 0.229584, 0.227564, 0.226222, 0.225318, 2000, 2000, 2000, 3 , 8
fO3native_matmul, 3.33057, 3.32521, 3.29977, 3.32142, 3.31813, 4000, 4000, 4000, 3 , 8
fO3native_scalar, 0.000304325, 0.000272686, 0.000300088, 0.000253797, 0.000235019, 10, 10, 10, 4 , 8
fO3native_scalar, 0.000242029, 0.000238093, 0.000237022, 0.000226134, 0.000273627, 25, 25, 25, 4 , 8
fO3native_scalar, 0.000291466, 0.000223902, 0.000270863, 0.000279376, 0.000226856, 50, 50, 50, 4 , 8
fO3native_scalar, 0.000260728, 0.000254407, 0.000264534, 0.000286156, 0.000265996, 100, 100, 100, 4 , 8
fO3native_scalar, 0.000957021, 0.000974217, 0.000947317, 0.00097034, 0.000978173, 500, 500, 500, 4 , 8
fO3native_scalar, 0.00162539, 0.00173658, 0.00157834, 0.00164251, 0.00180545, 1000, 1000, 1000, 4 , 8
fO3native_scalar, 0.00459038, 0.00452259, 0.0046389, 0.00465077, 0.0046208, 2000, 2000, 2000, 4 , 8
fO3native_scalar, 0.0166766, 0.0168728, 0.016783, 0.0165334, 0.0170009, 4000, 4000, 4000, 4 , 8
fO3native_transpose, 0.000265214, 0.000288079, 0.000428524, 0.000252867, 0.000275071, 10, 10, 10, 5 , 8
fO3native_transpose, 0.000224612, 0.000230363, 0.000227828, 0.000244562, 0.000217542, 25, 25, 25, 5 , 8
fO3native_transpose, 0.000265435, 0.000283944, 0.000232364, 0.000250602, 0.000266788, 50, 50, 50, 5 , 8
fO3native_transpose, 0.000267789, 0.000285827, 0.00028238, 0.000285306, 0.000264503, 100, 100, 100, 5 , 8
fO3native_transpose, 0.000961718, 0.00104527, 0.000982369, 0.000955149, 0.000931753, 500, 500, 500, 5 , 8
fO3native_transpose, 0.00160226, 0.00172159, 0.00164373, 0.00164213, 0.00173157, 1000, 1000, 1000, 5 , 8
fO3native_transpose, 0.00477659, 0.00524129, 0.00489606, 0.00467388, 0.00496497, 2000, 2000, 2000, 5 , 8
fO3native_transpose, 0.0180269, 0.0178938, 0.0181487, 0.018382, 0.0176649, 4000, 4000, 4000, 5 , 8
fO3native_sub_mul, 0.000283904, 0.000292857, 0.000226015, 0.000224303, 0.000245476, 10, 10, 10, 6 , 8
fO3native_sub_mul, 0.000276612, 0.000232015, 0.000295321, 0.000218633, 0.000416586, 25, 25, 25, 6 , 8
fO3native_sub_mul, 0.000271755, 0.000245925, 0.000245075, 0.000235219, 0.000244693, 50, 50, 50, 6 , 8
fO3native_sub_mul, 0.000295732, 0.000318996, 0.000311275, 0.000311154, 0.000304214, 100, 100, 100, 6 , 8
fO3native_sub_mul, 0.00207336, 0.00216586, 0.00217658, 0.00213217, 0.00205762, 500, 500, 500, 6 , 8
fO3native_sub_mul, 0.00381939, 0.00361902, 0.00390535, 0.00380535, 0.00367952, 1000, 1000, 1000, 6 , 8
fO3native_sub_mul, 0.0110003, 0.0109343, 0.0113533, 0.0121175, 0.0118549, 2000, 2000, 2000, 6 , 8
fO3native_sub_mul, 0.0443268, 0.0436455, 0.0426025, 0.0429797, 0.0424367, 4000, 4000, 4000, 6 , 8
