Config, run1, run2, run3, run4, run5, M, N, R, operation , threads
fO3native_sub_mul, 6.957e-05, 6.8212e-05, 9.0058e-05, 6.3355e-05, 8.644e-05, 100, 100, 100, 6 , 1
fO3native_sub_mul, 0.00349951, 0.00386919, 0.00437996, 0.00392472, 0.00393573, 500, 500, 500, 6 , 1
fO3native_sub_mul, 0.00949069, 0.0116481, 0.0101074, 0.0129169, 0.0120368, 1000, 1000, 1000, 6 , 1
fO3native_sub_mul, 0.0220596, 0.0214592, 0.0219766, 0.0222542, 0.0215446, 2000, 2000, 2000, 6 , 1
fO3native_sub_mul, 0.177099, 0.172474, 0.175784, 0.179004, 0.17735, 4000, 4000, 4000, 6 , 1
fO3native_add, 6.4027e-05, 8.5822e-05, 6.7616e-05, 6.8434e-05, 6.409e-05, 10, 10, 10, 1 , 2
fO3native_add, 5.893e-05, 6.8601e-05, 0.000110935, 7.6949e-05, 5.5758e-05, 25, 25, 25, 1 , 2
fO3native_add, 6.5153e-05, 9.1186e-05, 9.6635e-05, 8.3228e-05, 7.5291e-05, 50, 50, 50, 1 , 2
fO3native_add, 0.000139337, 0.00012488, 0.000106593, 0.000110454, 0.000114716, 100, 100, 100, 1 , 2
fO3native_add, 0.00174974, 0.00197778, 0.00151873, 0.00159245, 0.00161165, 500, 500, 500, 1 , 2
fO3native_add, 0.0039241, 0.00455358, 0.00343848, 0.00359066, 0.00565576, 1000, 1000, 1000, 1 , 2
fO3native_add, 0.00848288, 0.00904721, 0.00939162, 0.00832395, 0.00839555, 2000, 2000, 2000, 1 , 2
fO3native_add, 0.0746865, 0.0714681, 0.0727567, 0.0725685, 0.0724546, 4000, 4000, 4000, 1 , 2
fO3native_sub, 9.484e-05, 8.4396e-05, 4.2467e-05, 6.8164e-05, 7.7185e-05, 10, 10, 10, 2 , 2
fO3native_sub, 4.8882e-05, 7.3737e-05, 4.8164e-05, 7.4093e-05, 4.7895e-05, 25, 25, 25, 2 , 2
fO3native_sub, 7.7901e-05, 8.6146e-05, 7.7445e-05, 6.032e-05, 9.5963e-05, 50, 50, 50, 2 , 2
fO3native_sub, 0.000130988, 0.000137352, 0.000111344, 0.00013842, 0.000114429, 100, 100, 100, 2 , 2
fO3native_sub, 0.00188984, 0.00229373, 0.00180378, 0.00191234, 0.00176302, 500, 500, 500, 2 , 2
fO3native_sub, 0.00383491, 0.0028385, 0.00275731, 0.00400925, 0.00282351, 1000, 1000, 1000, 2 , 2
fO3native_sub, 0.00837963, 0.00912886, 0.0085137, 0.00816949, 0.0100526, 2000, 2000, 2000, 2 , 2
fO3native_sub, 0.0705313, 0.0718758, 0.0739529, 0.0693508, 0.0717709, 4000, 4000, 4000, 2 , 2
fO3native_matmul, 0.000155595, 0.000146152, 7.555e-05, 4.9583e-05, 7.1315e-05, 10, 10, 10, 3 , 2
fO3native_matmul, 5.8152e-05, 7.8328e-05, 7.5754e-05, 0.000115731, 8.0157e-05, 25, 25, 25, 3 , 2
fO3native_matmul, 0.000111941, 0.000100019, 8.963e-05, 0.000163214, 0.000200199, 50, 50, 50, 3 , 2
fO3native_matmul, 0.000322687, 0.000343887, 0.000337553, 0.000319457, 0.000351924, 100, 100, 100, 3 , 2
fO3native_matmul, 0.0331283, 0.0285584, 0.0243304, 0.0240532, 0.0259743, 500, 500, 500, 3 , 2
fO3native_matmul, 0.31024, 0.313622, 0.315842, 0.316307, 0.316025, 1000, 1000, 1000, 3 , 2
fO3native_matmul, 2.29426, 2.18611, 2.2162, 2.21465, 2.28237, 2000, 2000, 2000, 3 , 2
fO3native_matmul, 19.4339, 19.5586, 19.473, 19.7741, 19.6818, 4000, 4000, 4000, 3 , 2
fO3native_scalar, 8.6574e-05, 7.0266e-05, 6.965e-05, 8.4364e-05, 6.611e-05, 10, 10, 10, 4 , 2
fO3native_scalar, 5.2512e-05, 4.7495e-05, 6.2775e-05, 7.6411e-05, 4.7039e-05, 25, 25, 25, 4 , 2
fO3native_scalar, 9.3595e-05, 9.28e-05, 5.7129e-05, 0.000110269, 9.8407e-05, 50, 50, 50, 4 , 2
fO3native_scalar, 0.000109565, 0.000100533, 0.000107729, 0.000117765, 0.000143806, 100, 100, 100, 4 , 2
fO3native_scalar, 0.00113784, 0.00146809, 0.00168591, 0.00154158, 0.00204473, 500, 500, 500, 4 , 2
fO3native_scalar, 0.00495364, 0.00255164, 0.00367474, 0.00334466, 0.00388905, 1000, 1000, 1000, 4 , 2
fO3native_scalar, 0.00767146, 0.00701427, 0.00759598, 0.00723941, 0.0103452, 2000, 2000, 2000, 4 , 2
fO3native_scalar, 0.0602657, 0.0623039, 0.0595622, 0.0588275, 0.0720453, 4000, 4000, 4000, 4 , 2
fO3native_transpose, 7.1497e-05, 6.7781e-05, 6.6272e-05, 6.0755e-05, 8.1093e-05, 10, 10, 10, 5 , 2
fO3native_transpose, 5.1254e-05, 5.0486e-05, 5.3074e-05, 6.9621e-05, 7.6979e-05, 25, 25, 25, 5 , 2
fO3native_transpose, 7.1756e-05, 8.7129e-05, 9.0934e-05, 8.1555e-05, 6.1944e-05, 50, 50, 50, 5 , 2
fO3native_transpose, 0.000108079, 0.000113477, 9.2968e-05, 0.000103991, 0.000146635, 100, 100, 100, 5 , 2
fO3native_transpose, 0.00119197, 0.00112128, 0.00105591, 0.0011478, 0.00117307, 500, 500, 500, 5 , 2
fO3native_transpose, 0.00316102, 0.00393885, 0.0049455, 0.003328, 0.00566896, 1000, 1000, 1000, 5 , 2
fO3native_transpose, 0.013039, 0.0109689, 0.0128209, 0.0149269, 0.0113621, 2000, 2000, 2000, 5 , 2
fO3native_transpose, 0.0917836, 0.0946546, 0.088501, 0.0772792, 0.0975183, 4000, 4000, 4000, 5 , 2
fO3native_sub_mul, 6.5968e-05, 7.6255e-05, 6.8308e-05, 7.1024e-05, 8.9299e-05, 10, 10, 10, 6 , 2
fO3native_sub_mul, 8.4804e-05, 5.0186e-05, 0.000103101, 7.0772e-05, 7.1955e-05, 25, 25, 25, 6 , 2
fO3native_sub_mul, 0.000100535, 9.3919e-05, 8.4932e-05, 7.0442e-05, 9.438e-05, 50, 50, 50, 6 , 2
fO3native_sub_mul, 0.000134991, 0.000157456, 0.000179026, 0.000119796, 0.000155111, 100, 100, 100, 6 , 2
fO3native_sub_mul, 0.00242954, 0.00341071, 0.00387777, 0.00464128, 0.00438551, 500, 500, 500, 6 , 2
fO3native_sub_mul, 0.00731285, 0.006581, 0.00555576, 0.00630114, 0.00607107, 1000, 1000, 1000, 6 , 2
fO3native_sub_mul, 0.0171446, 0.0178552, 0.0183822, 0.0185561, 0.0169179, 2000, 2000, 2000, 6 , 2
fO3native_sub_mul, 0.163101, 0.155661, 0.152874, 0.165902, 0.16333, 4000, 4000, 4000, 6 , 2
fO3native_add, 0.000121108, 0.000142758, 0.000133029, 0.000140472, 0.000103622, 10, 10, 10, 1 , 4
fO3native_add, 0.000173376, 0.000123243, 0.000103253, 0.000172664, 0.000106024, 25, 25, 25, 1 , 4
fO3native_add, 0.000148754, 0.000167171, 0.00021189, 0.0001685, 0.000181306, 50, 50, 50, 1 , 4
fO3native_add, 0.000228807, 0.000263329, 0.000218763, 0.000247666, 0.00025083, 100, 100, 100, 1 , 4
fO3native_add, 0.00189645, 0.00168783, 0.0013905, 0.0011393, 0.00167559, 500, 500, 500, 1 , 4
fO3native_add, 0.00355877, 0.00325129, 0.0038654, 0.00300982, 0.0027028, 1000, 1000, 1000, 1 , 4
fO3native_add, 0.00748029, 0.00849388, 0.00850971, 0.00838658, 0.00669428, 2000, 2000, 2000, 1 , 4
fO3native_add, 0.0743075, 0.0716697, 0.0732462, 0.0701759, 0.0712808, 4000, 4000, 4000, 1 , 4
fO3native_sub, 0.000135977, 0.000124547, 0.000119793, 8.8847e-05, 0.00011756, 10, 10, 10, 2 , 4
fO3native_sub, 0.000135808, 0.000120224, 8.4639e-05, 0.000130951, 0.000140162, 25, 25, 25, 2 , 4
fO3native_sub, 0.000152282, 0.000129816, 0.000117337, 0.000150302, 0.000144754, 50, 50, 50, 2 , 4
fO3native_sub, 0.000188657, 0.000205501, 0.00020853, 0.000216082, 0.000173352, 100, 100, 100, 2 , 4
fO3native_sub, 0.00246851, 0.00205802, 0.0015661, 0.00143862, 0.0011915, 500, 500, 500, 2 , 4
fO3native_sub, 0.00267071, 0.00387397, 0.00376557, 0.00578083, 0.00464778, 1000, 1000, 1000, 2 , 4
fO3native_sub, 0.00778342, 0.00757553, 0.00844489, 0.00865193, 0.00853479, 2000, 2000, 2000, 2 , 4
fO3native_sub, 0.0701112, 0.0702879, 0.0706916, 0.0703244, 0.0672788, 4000, 4000, 4000, 2 , 4
fO3native_matmul, 0.000137683, 0.000137838, 0.000117834, 0.000106282, 7.6268e-05, 10, 10, 10, 3 , 4
fO3native_matmul, 9.36e-05, 0.000114063, 8.5565e-05, 0.000103267, 0.000118371, 25, 25, 25, 3 , 4
fO3native_matmul, 0.000161781, 0.000170373, 0.000105041, 0.000157983, 0.000172568, 50, 50, 50, 3 , 4
fO3native_matmul, 0.00025142, 0.000244265, 0.000224008, 0.000261982, 0.000237618, 100, 100, 100, 3 , 4
fO3native_matmul, 0.014723, 0.0154622, 0.0148845, 0.0151387, 0.0277872, 500, 500, 500, 3 , 4
fO3native_matmul, 0.167681, 0.155268, 0.162585, 0.161255, 0.174874, 1000, 1000, 1000, 3 , 4
fO3native_matmul, 1.15725, 1.14371, 1.12592, 1.11692, 1.12154, 2000, 2000, 2000, 3 , 4
fO3native_matmul, 10.4738, 10.9091, 11.1057, 10.8414, 10.8323, 4000, 4000, 4000, 3 , 4
fO3native_scalar, 0.0001106, 9.0297e-05, 0.000111707, 9.2427e-05, 0.000105613, 10, 10, 10, 4 , 4
fO3native_scalar, 0.000125344, 0.00010902, 0.000113045, 0.000218002, 0.000125692, 25, 25, 25, 4 , 4
fO3native_scalar, 0.000156209, 0.000235977, 0.000188367, 0.000190329, 0.000200764, 50, 50, 50, 4 , 4
fO3native_scalar, 0.00023486, 0.00027841, 0.000236841, 0.00022519, 0.000248106, 100, 100, 100, 4 , 4
fO3native_scalar, 0.00181518, 0.00209214, 0.00239563, 0.00223506, 0.00200477, 500, 500, 500, 4 , 4
fO3native_scalar, 0.00412543, 0.0044432, 0.00395427, 0.00344904, 0.00366022, 1000, 1000, 1000, 4 , 4
fO3native_scalar, 0.005942, 0.00790499, 0.00838565, 0.00718195, 0.00733832, 2000, 2000, 2000, 4 , 4
fO3native_scalar, 0.0695806, 0.0671313, 0.0667894, 0.0656237, 0.0689409, 4000, 4000, 4000, 4 , 4
fO3native_transpose, 9.6038e-05, 0.000107796, 9.6276e-05, 8.6181e-05, 9.9497e-05, 10, 10, 10, 5 , 4
fO3native_transpose, 0.000113902, 8.0492e-05, 8.9775e-05, 8.6376e-05, 0.000101859, 25, 25, 25, 5 , 4
fO3native_transpose, 0.000103302, 0.000110137, 8.6337e-05, 0.000116792, 0.000136272, 50, 50, 50, 5 , 4
fO3native_transpose, 0.000138788, 0.000119103, 0.000131283, 0.000116684, 0.000135049, 100, 100, 100, 5 , 4
fO3native_transpose, 0.00262366, 0.0011647, 0.00146319, 0.00126078, 0.00108577, 500, 500, 500, 5 , 4
fO3native_transpose, 0.00322245, 0.00316466, 0.00320123, 0.00353907, 0.00313686, 1000, 1000, 1000, 5 , 4
fO3native_transpose, 0.0102922, 0.0106712, 0.0104791, 0.00998911, 0.0106646, 2000, 2000, 2000, 5 , 4
fO3native_transpose, 0.113393, 0.086232, 0.0938979, 0.0891797, 0.0886124, 4000, 4000, 4000, 5 , 4
fO3native_sub_mul, 0.00252857, 8.4421e-05, 0.000130958, 0.000101016, 0.000102452, 10, 10, 10, 6 , 4
fO3native_sub_mul, 0.000118924, 0.000105283, 0.00011125, 9.692e-05, 9.4705e-05, 25, 25, 25, 6 , 4
fO3native_sub_mul, 0.000150748, 0.000129321, 0.000122311, 0.000134336, 0.0001174, 50, 50, 50, 6 , 4
fO3native_sub_mul, 0.000211278, 0.000194222, 0.000195429, 0.00015999, 0.000184417, 100, 100, 100, 6 , 4
fO3native_sub_mul, 0.00250798, 0.00256147, 0.0025262, 0.00256057, 0.00254246, 500, 500, 500, 6 , 4
fO3native_sub_mul, 0.00606333, 0.0060337, 0.00733139, 0.00583516, 0.00676524, 1000, 1000, 1000, 6 , 4
fO3native_sub_mul, 0.0185158, 0.0184192, 0.0170325, 0.017961, 0.0192229, 2000, 2000, 2000, 6 , 4
fO3native_sub_mul, 0.158839, 0.173031, 0.171307, 0.177129, 0.170961, 4000, 4000, 4000, 6 , 4
fO3native_add, 0.00883804, 0.0102013, 0.00933798, 0.00956569, 0.00192077, 10, 10, 10, 1 , 8
fO3native_add, 0.0143356, 0.0135105, 0.0146956, 0.0105411, 0.00677578, 25, 25, 25, 1 , 8
fO3native_add, 0.00239175, 0.0147658, 0.00466713, 0.00287852, 0.0128146, 50, 50, 50, 1 , 8
fO3native_add, 0.00145616, 0.00757975, 0.0129456, 0.00737007, 0.00750804, 100, 100, 100, 1 , 8
fO3native_add, 0.00338897, 0.00350406, 0.00238351, 0.00254627, 0.00952499, 500, 500, 500, 1 , 8
fO3native_add, 0.00943831, 0.0199018, 0.0105955, 0.00544581, 0.00438468, 1000, 1000, 1000, 1 , 8
fO3native_add, 0.018788, 0.0118155, 0.0122661, 0.00770138, 0.008068, 2000, 2000, 2000, 1 , 8
fO3native_add, 0.0775927, 0.0795136, 0.0753831, 0.07438, 0.0732249, 4000, 4000, 4000, 1 , 8
fO3native_sub, 0.00875306, 0.00674726, 0.0125036, 0.00373663, 0.0127708, 10, 10, 10, 2 , 8
fO3native_sub, 0.00128519, 0.0083596, 0.0126416, 0.0125021, 0.0127036, 25, 25, 25, 2 , 8
fO3native_sub, 0.00243776, 0.00393998, 0.00262146, 0.00209819, 0.00289978, 50, 50, 50, 2 , 8
fO3native_sub, 0.0131583, 0.00242172, 0.00588482, 0.00290168, 0.00203542, 100, 100, 100, 2 , 8
fO3native_sub, 0.0128502, 0.00860885, 0.00357775, 0.00855569, 0.00690973, 500, 500, 500, 2 , 8
fO3native_sub, 0.00993593, 0.0106225, 0.00501411, 0.00423943, 0.0105747, 1000, 1000, 1000, 2 , 8
fO3native_sub, 0.00960913, 0.0196199, 0.0136027, 0.0134623, 0.00817805, 2000, 2000, 2000, 2 , 8
fO3native_sub, 0.0731342, 0.0777966, 0.0724556, 0.0733033, 0.0750134, 4000, 4000, 4000, 2 , 8
fO3native_matmul, 0.0068823, 0.0136611, 0.0116272, 0.0180025, 0.00882582, 10, 10, 10, 3 , 8
fO3native_matmul, 0.00895272, 0.015823, 0.00965333, 0.00964502, 0.00910337, 25, 25, 25, 3 , 8
fO3native_matmul, 0.012173, 0.00685155, 0.00766276, 0.00729985, 0.00789931, 50, 50, 50, 3 , 8
fO3native_matmul, 0.00866023, 0.0136822, 0.011138, 0.0227644, 0.0187696, 100, 100, 100, 3 , 8
fO3native_matmul, 0.0200399, 0.0316652, 0.0358881, 0.0208122, 0.0246815, 500, 500, 500, 3 , 8
fO3native_matmul, 0.169112, 0.17507, 0.175208, 0.185914, 0.201745, 1000, 1000, 1000, 3 , 8
fO3native_matmul, 1.12002, 1.11866, 1.1252, 1.12244, 1.17102, 2000, 2000, 2000, 3 , 8
fO3native_matmul, 10.0085, 10.0792, 10.0219, 10.2076, 10.3851, 4000, 4000, 4000, 3 , 8
fO3native_scalar, 0.00784928, 0.00769119, 0.00279287, 0.0129834, 0.00272648, 10, 10, 10, 4 , 8
fO3native_scalar, 0.00567199, 0.00870754, 0.00279066, 0.00773519, 0.011935, 25, 25, 25, 4 , 8
fO3native_scalar, 0.0244089, 0.00737117, 0.0146617, 0.00659086, 0.00840777, 50, 50, 50, 4 , 8
fO3native_scalar, 0.00238734, 0.0104951, 0.00938494, 0.00256677, 0.01342, 100, 100, 100, 4 , 8
fO3native_scalar, 0.00845127, 0.0047456, 0.0143051, 0.00691465, 0.00371325, 500, 500, 500, 4 , 8
fO3native_scalar, 0.00602949, 0.00845555, 0.0157494, 0.0044295, 0.0048299, 1000, 1000, 1000, 4 , 8
fO3native_scalar, 0.0204483, 0.0122064, 0.026049, 0.00969269, 0.0183845, 2000, 2000, 2000, 4 , 8
fO3native_scalar, 0.033875, 0.0335406, 0.0535973, 0.0417425, 0.0435685, 4000, 4000, 4000, 4 , 8
fO3native_transpose, 0.0125964, 0.00647376, 0.0059328, 0.00169712, 0.00660702, 10, 10, 10, 5 , 8
fO3native_transpose, 0.00392345, 0.00241566, 0.00770217, 0.0133773, 0.00413143, 25, 25, 25, 5 , 8
fO3native_transpose, 0.00849137, 0.00248664, 0.00277362, 0.00259165, 0.00716126, 50, 50, 50, 5 , 8
