Config, run1, run2, run3, run4, run5, M, N, R, operation
O2_sub_mul, 5.9333e-05, 6.012e-05, 6.2993e-05, 6.392e-05, 6.8544e-05, 100, 100, 100, 6
O2_sub_mul, 0.00192251, 0.00211367, 0.0017465, 0.00176236, 0.00243909, 500, 500, 500, 6
O2_sub_mul, 0.00530064, 0.00558431, 0.00555319, 0.00537046, 0.00554283, 1000, 1000, 1000, 6
O2_sub_mul, 0.0329029, 0.0357887, 0.0306636, 0.0366034, 0.0315889, 2000, 2000, 2000, 6
O2_sub_mul, 0.135707, 0.141103, 0.13646, 0.131553, 0.131091, 4000, 4000, 4000, 6
O3_add, 2.6252e-05, 2.4436e-05, 3.4293e-05, 2.469e-05, 3.2544e-05, 100, 100, 100, 1
O3_add, 0.000905536, 0.000759128, 0.000781735, 0.000754714, 0.000810146, 500, 500, 500, 1
O3_add, 0.00217111, 0.0023057, 0.00270907, 0.00216725, 0.00215695, 1000, 1000, 1000, 1
O3_add, 0.0146617, 0.00878355, 0.0135803, 0.0128972, 0.0160247, 2000, 2000, 2000, 1
O3_add, 0.0527243, 0.0585244, 0.0580215, 0.0600054, 0.0596008, 4000, 4000, 4000, 1
O3_sub, 2.6177e-05, 2.5398e-05, 2.2846e-05, 2.4785e-05, 2.2154e-05, 100, 100, 100, 2
O3_sub, 0.000820844, 0.000751123, 0.000809293, 0.000771061, 0.00072527, 500, 500, 500, 2
O3_sub, 0.00214873, 0.00248146, 0.00260199, 0.00248328, 0.00217547, 1000, 1000, 1000, 2
O3_sub, 0.014262, 0.0147445, 0.0103445, 0.0153452, 0.014545, 2000, 2000, 2000, 2
O3_sub, 0.0590109, 0.0575163, 0.0573202, 0.0585725, 0.0596609, 4000, 4000, 4000, 2
O3_matmul, 0.000850329, 0.000854421, 0.000841866, 0.0008501, 0.000844322, 100, 100, 100, 3
O3_matmul, 0.12815, 0.126396, 0.126537, 0.124865, 0.124328, 500, 500, 500, 3
O3_scalar, 2.5064e-05, 3.4752e-05, 2.4194e-05, 2.3257e-05, 3.4651e-05, 100, 100, 100, 4
O3_scalar, 0.000733137, 0.000758938, 0.000691277, 0.000723944, 0.000667868, 500, 500, 500, 4
O3_scalar, 0.00209832, 0.00209894, 0.00208879, 0.00245241, 0.00207753, 1000, 1000, 1000, 4
O3_scalar, 0.00672775, 0.00666302, 0.00719292, 0.00688156, 0.00686294, 2000, 2000, 2000, 4
O3_scalar, 0.0642853, 0.0547134, 0.0556735, 0.0552936, 0.0555775, 4000, 4000, 4000, 4
O3_transpose, 2.829e-05, 3.763e-05, 3.2696e-05, 3.0398e-05, 2.93e-05, 100, 100, 100, 5
O3_transpose, 0.00100568, 0.000875331, 0.000993522, 0.000903692, 0.000814804, 500, 500, 500, 5
O3_transpose, 0.00312527, 0.00300833, 0.00368426, 0.00353713, 0.00308209, 1000, 1000, 1000, 5
O3_transpose, 0.0120267, 0.013262, 0.0132096, 0.0146168, 0.0137524, 2000, 2000, 2000, 5
O3_transpose, 0.12356, 0.117431, 0.120358, 0.123836, 0.124262, 4000, 4000, 4000, 5
O3_sub_mul, 5.1099e-05, 5.0319e-05, 5.8087e-05, 5.5725e-05, 5.7708e-05, 100, 100, 100, 6
O3_sub_mul, 0.00177313, 0.00180876, 0.00165696, 0.00209787, 0.00163022, 500, 500, 500, 6
O3_sub_mul, 0.0050957, 0.0052457, 0.00494458, 0.00506628, 0.00506418, 1000, 1000, 1000, 6
O3_sub_mul, 0.0372178, 0.0352902, 0.0359809, 0.0344856, 0.0355503, 2000, 2000, 2000, 6
O3_sub_mul, 0.134637, 0.136673, 0.1316, 0.134199, 0.135127, 4000, 4000, 4000, 6
fastmath_add, 0.000269334, 0.000190595, 0.000190097, 0.00019629, 0.000201322, 100, 100, 100, 1
fastmath_add, 0.00464638, 0.00479544, 0.00466178, 0.0046685, 0.0047499, 500, 500, 500, 1
fastmath_add, 0.0168906, 0.0187693, 0.0202345, 0.0183153, 0.01774, 1000, 1000, 1000, 1
fastmath_add, 0.0763946, 0.0754115, 0.0715313, 0.0724115, 0.0724512, 2000, 2000, 2000, 1
fastmath_add, 0.293908, 0.293871, 0.292116, 0.293217, 0.299488, 4000, 4000, 4000, 1
fastmath_sub, 0.00019252, 0.000194308, 0.000343758, 0.000196528, 0.000177768, 100, 100, 100, 2
fastmath_sub, 0.00480171, 0.00475728, 0.0046215, 0.0046062, 0.0045444, 500, 500, 500, 2
fastmath_sub, 0.0179166, 0.0179891, 0.0183492, 0.0184764, 0.0184848, 1000, 1000, 1000, 2
fastmath_sub, 0.0741618, 0.0731348, 0.0731115, 0.0734019, 0.0727022, 2000, 2000, 2000, 2
fastmath_sub, 0.296304, 0.29564, 0.295704, 0.29854, 0.29747, 4000, 4000, 4000, 2
fastmath_matmul, 0.0116023, 0.0112798, 0.0115326, 0.0115463, 0.0158712, 100, 100, 100, 3
fastmath_matmul, 1.46028, 1.48495, 1.45821, 1.48295, 1.44169, 500, 500, 500, 3
fastmath_scalar, 0.000120866, 0.000131372, 0.000118368, 0.000122071, 0.000132377, 100, 100, 100, 4
fastmath_scalar, 0.00321164, 0.00343439, 0.00304045, 0.00311885, 0.00380316, 500, 500, 500, 4
fastmath_scalar, 0.0123057, 0.01222, 0.0120229, 0.0118993, 0.0113754, 1000, 1000, 1000, 4
fastmath_scalar, 0.0462851, 0.0477834, 0.0479092, 0.0468896, 0.0490387, 2000, 2000, 2000, 4
fastmath_scalar, 0.205975, 0.20312, 0.202565, 0.208954, 0.206816, 4000, 4000, 4000, 4
fastmath_transpose, 0.000130759, 0.000133846, 0.000133137, 0.000774023, 0.000137914, 100, 100, 100, 5
fastmath_transpose, 0.00385121, 0.00331434, 0.00343081, 0.00316297, 0.00353089, 500, 500, 500, 5
fastmath_transpose, 0.0128443, 0.0129214, 0.0132287, 0.0129682, 0.0123985, 1000, 1000, 1000, 5
fastmath_transpose, 0.0501922, 0.0495431, 0.0502696, 0.0513742, 0.0500493, 2000, 2000, 2000, 5
fastmath_transpose, 0.257982, 0.25538, 0.25401, 0.250519, 0.253767, 4000, 4000, 4000, 5
fastmath_sub_mul, 0.000337236, 0.000338592, 0.000337322, 0.000325207, 0.000330364, 100, 100, 100, 6
fastmath_sub_mul, 0.00880424, 0.00825108, 0.00822421, 0.00993725, 0.00832101, 500, 500, 500, 6
fastmath_sub_mul, 0.0315891, 0.0305297, 0.0297261, 0.0296633, 0.0295816, 1000, 1000, 1000, 6
fastmath_sub_mul, 0.132307, 0.128312, 0.125605, 0.126134, 0.125545, 2000, 2000, 2000, 6
fastmath_sub_mul, 0.516053, 0.524954, 0.5166, 0.586832, 0.538085, 4000, 4000, 4000, 6
native_add, 0.000185131, 0.000192122, 0.000196022, 0.000197437, 0.000185643, 100, 100, 100, 1
native_add, 0.00476364, 0.00464792, 0.00475975, 0.00468746, 0.00882589, 500, 500, 500, 1
native_add, 0.0181472, 0.0191248, 0.0181094, 0.0181623, 0.0174712, 1000, 1000, 1000, 1
native_add, 0.0725914, 0.0716476, 0.0701039, 0.0714591, 0.0716735, 2000, 2000, 2000, 1
native_add, 0.307641, 0.293009, 0.298946, 0.30732, 0.293333, 4000, 4000, 4000, 1
native_sub, 0.000189898, 0.000193816, 0.000192069, 0.000176202, 0.000189284, 100, 100, 100, 2
native_sub, 0.00452822, 0.00469397, 0.00445865, 0.0047444, 0.00470163, 500, 500, 500, 2
native_sub, 0.0182178, 0.0174183, 0.0184317, 0.0173523, 0.0184629, 1000, 1000, 1000, 2
native_sub, 0.0687225, 0.068927, 0.0691003, 0.0764059, 0.112433, 2000, 2000, 2000, 2
native_sub, 0.319486, 0.370529, 0.306312, 0.291991, 0.303056, 4000, 4000, 4000, 2
native_matmul, 0.0117702, 0.0147363, 0.0117924, 0.0120631, 0.012032, 100, 100, 100, 3
native_matmul, 1.4842, 1.50869, 1.45676, 1.47733, 1.47171, 500, 500, 500, 3
native_scalar, 0.000130726, 0.000129057, 0.00012571, 0.000129865, 0.000129071, 100, 100, 100, 4
native_scalar, 0.00342868, 0.00351431, 0.00323631, 0.00375526, 0.00344429, 500, 500, 500, 4
native_scalar, 0.0126749, 0.0133402, 0.0126066, 0.0128765, 0.0133721, 1000, 1000, 1000, 4
native_scalar, 0.050428, 0.049394, 0.0528643, 0.0488644, 0.0551183, 2000, 2000, 2000, 4
native_scalar, 0.206707, 0.206725, 0.204459, 0.284927, 0.210228, 4000, 4000, 4000, 4
native_transpose, 0.000119109, 0.00013249, 0.000129388, 0.000148818, 0.000216845, 100, 100, 100, 5
native_transpose, 0.00308777, 0.00322753, 0.00339267, 0.00333093, 0.00310571, 500, 500, 500, 5
native_transpose, 0.0228482, 0.0137424, 0.012651, 0.0128715, 0.0134959, 1000, 1000, 1000, 5
native_transpose, 0.0576224, 0.0571019, 0.0548343, 0.0591491, 0.0593206, 2000, 2000, 2000, 5
native_transpose, 0.24182, 0.253828, 0.251182, 0.251635, 0.266242, 4000, 4000, 4000, 5
native_sub_mul, 0.000344812, 0.00033166, 0.000366947, 0.000333069, 0.000353832, 100, 100, 100, 6
native_sub_mul, 0.00888513, 0.00991441, 0.0110319, 0.00804796, 0.0136943, 500, 500, 500, 6
native_sub_mul, 0.030602, 0.0290646, 0.0294334, 0.0297332, 0.0313419, 1000, 1000, 1000, 6
native_sub_mul, 0.128204, 0.128552, 0.129562, 0.132098, 0.130778, 2000, 2000, 2000, 6
native_sub_mul, 0.516526, 0.513979, 0.508761, 0.523148, 0.510195, 4000, 4000, 4000, 6
fO3_add, 2.6181e-05, 2.2648e-05, 2.5019e-05, 2.5826e-05, 2.3729e-05, 100, 100, 100, 1
fO3_add, 0.000874452, 0.000757125, 0.000810834, 0.000975632, 0.000761028, 500, 500, 500, 1
fO3_add, 0.00282468, 0.00222358, 0.00232638, 0.00263865, 0.00253802, 1000, 1000, 1000, 1
fO3_add, 0.0128173, 0.0130076, 0.0145126, 0.0148358, 0.0148243, 2000, 2000, 2000, 1
fO3_add, 0.060144, 0.0620803, 0.0605574, 0.0607754, 0.0604824, 4000, 4000, 4000, 1
fO3_sub, 2.5743e-05, 2.3675e-05, 2.5272e-05, 2.4772e-05, 2.2617e-05, 100, 100, 100, 2
fO3_sub, 0.000777499, 0.000800003, 0.000720852, 0.000687785, 0.00072501, 500, 500, 500, 2
fO3_sub, 0.00305135, 0.00265045, 0.00219972, 0.00275488, 0.0022757, 1000, 1000, 1000, 2
fO3_sub, 0.015352, 0.015672, 0.013449, 0.0161105, 0.0155115, 2000, 2000, 2000, 2
fO3_sub, 0.0602035, 0.0612912, 0.0603511, 0.0586325, 0.0604659, 4000, 4000, 4000, 2
fO3_matmul, 0.000790117, 0.000764334, 0.000786766, 0.000853647, 0.000861162, 100, 100, 100, 3
fO3_matmul, 0.128561, 0.125574, 0.12209, 0.129654, 0.128145, 500, 500, 500, 3
fO3_scalar, 2.4081e-05, 2.2997e-05, 3.092e-05, 0.000239959, 2.4096e-05, 100, 100, 100, 4
fO3_scalar, 0.00125774, 0.000847453, 0.000741173, 0.00071325, 0.00067598, 500, 500, 500, 4
fO3_scalar, 0.0019693, 0.00207601, 0.00213675, 0.00195787, 0.00194548, 1000, 1000, 1000, 4
fO3_scalar, 0.00676841, 0.00766625, 0.00959083, 0.00957962, 0.010296, 2000, 2000, 2000, 4
fO3_scalar, 0.05658, 0.0552913, 0.0559292, 0.0561671, 0.0589944, 4000, 4000, 4000, 4
fO3_transpose, 2.9316e-05, 2.8415e-05, 3.5835e-05, 3.129e-05, 3.0461e-05, 100, 100, 100, 5
fO3_transpose, 0.000966349, 0.000776192, 0.00103698, 0.000851008, 0.000875002, 500, 500, 500, 5
fO3_transpose, 0.00313654, 0.00310838, 0.00321976, 0.00316796, 0.00315842, 1000, 1000, 1000, 5
