Config, run1, run2, run3, run4, run5, M, N, R, operation
O2_transpose, 0.00114635, 0.00113612, 0.00125363, 0.00143645, 0.00185146, 500, 500, 500, 5
O2_transpose, 0.0034547, 0.00382191, 0.00414676, 0.00956523, 0.00428159, 1000, 1000, 1000, 5
O2_transpose, 0.0134041, 0.0135405, 0.0161605, 0.0302736, 0.0212498, 2000, 2000, 2000, 5
O2_transpose, 0.0929252, 0.0974191, 0.09219, 0.0919079, 0.0920632, 4000, 4000, 4000, 5
O2_sub_mul, 0.000289781, 0.000258604, 0.000232132, 0.000241618, 0.00344497, 100, 100, 100, 6
O2_sub_mul, 0.00255731, 0.00273817, 0.0147962, 0.00263991, 0.00309936, 500, 500, 500, 6
O2_sub_mul, 0.00650903, 0.00820287, 0.011358, 0.00924087, 0.0124758, 1000, 1000, 1000, 6
O2_sub_mul, 0.0478721, 0.0544313, 0.0595235, 0.0536553, 0.0498467, 2000, 2000, 2000, 6
O2_sub_mul, 0.170733, 0.17481, 0.172992, 0.172999, 0.173642, 4000, 4000, 4000, 6
O3_add, 0.00479704, 0.0066662, 0.000264371, 0.000210172, 0.000531405, 100, 100, 100, 1
O3_add, 0.00178042, 0.00316692, 0.00177878, 0.00409563, 0.00115823, 500, 500, 500, 1
O3_add, 0.00612894, 0.00386948, 0.00349362, 0.0109813, 0.00289177, 1000, 1000, 1000, 1
O3_add, 0.0159518, 0.0206282, 0.0192971, 0.0193666, 0.0199202, 2000, 2000, 2000, 1
O3_add, 0.0762316, 0.0646423, 0.0705643, 0.0704186, 0.0697587, 4000, 4000, 4000, 1
O3_sub, 0.000220088, 0.000196912, 0.000228247, 0.0145053, 0.000226343, 100, 100, 100, 2
O3_sub, 0.00118226, 0.00118259, 0.00844626, 0.00126849, 0.00195776, 500, 500, 500, 2
O3_sub, 0.00319015, 0.00375016, 0.00362068, 0.00307754, 0.0050658, 1000, 1000, 1000, 2
O3_sub, 0.0199155, 0.0208589, 0.0225543, 0.024707, 0.0209186, 2000, 2000, 2000, 2
O3_sub, 0.0718055, 0.0700937, 0.0714684, 0.0712445, 0.0704469, 4000, 4000, 4000, 2
O3_matmul, 0.00139591, 0.00141318, 0.00137204, 0.00137065, 0.00138174, 100, 100, 100, 3
O3_matmul, 0.168162, 0.156545, 0.167993, 0.15727, 0.157637, 500, 500, 500, 3
O3_matmul, 1.33373, 1.3238, 1.32972, 1.31745, 1.30583, 1000, 1000, 1000, 3
O3_matmul, 11.2584, 11.0825, 11.1159, 11.0738, 11.1381, 2000, 2000, 2000, 3
O3_matmul, 89.9744, 89.65, 89.5933, 89.685, 89.68, 4000, 4000, 4000, 3
O3_scalar, 0.000210098, 0.000231922, 0.000214027, 0.000205492, 0.000171534, 100, 100, 100, 4
