timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-05-10T09:46:37,opencl_matmul,86b9d223-6584-4097-9320-bbb0a18f904d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.160052587976679,3.473262911785356e-06,1.6079529411081424e-06,0.4000000036,33.95592205213029,10.0,1.8421246577277026e-07,2.035973851022277e-05,4.605121205612603e-06,2.5149072181608143e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:46:42,opencl_matmul,c6360d18-1cf7-496f-9e4e-65f5287e58d7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.1898090640315786,3.396789367442823e-06,1.5511806135230424e-06,0.4000000972,32.44171373129169,10.0,1.8751969067870213e-07,1.972001577499327e-05,4.68780993639181e-06,2.4595345402063783e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:46:48,opencl_matmul,96f3a2b4-2dec-4f85-92c9-24cb35b4fa08,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.1930160900810733,3.448723523956238e-06,1.5725938079317706e-06,0.4000079092,33.02290747219453,10.0,1.877346780109e-07,2.0090571627662257e-05,4.693081994385769e-06,2.4971388300058925e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:46:54,opencl_matmul,bcd7bdd6-b5be-46f8-9019-ecf63b0f773a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.321441686013713,3.975716534657467e-06,1.712606678259667e-06,0.4000002304,36.51672883293612,10.0,2.021431379961033e-07,2.3531685492628185e-05,5.053390950262029e-06,2.878721958088632e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:47:00,opencl_matmul,d46f6b14-8c88-43e7-a93a-48e4e83b454d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.722354520927184,6.162280561057987e-06,2.263584890831642e-06,0.4031850496,61.4587797452618,10.0,4.7306807973935e-07,3.2413637041983634e-05,1.1732905477725176e-05,4.461961059944816e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,25.0,15.677444458007812,N,1.0,0.0
2026-05-10T09:47:09,opencl_matmul,e14c4417-9c03-465e-89c2-c7055b0fe54d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.554171058931388,1.4176897222882288e-05,3.112947897527772e-06,0.4011610657,64.8138608782351,10.0,3.95402294036858e-07,9.241007392724045e-05,9.846070933336807e-06,0.0001026515471546,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,2.0,25.03333333333333,15.721417744954428,N,1.0,0.0
2026-05-10T09:52:04,opencl_matmul,9cbe3529-fdf4-413a-8d99-b5755606fcf6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.159213420934975,3.3269719209777723e-06,1.5408258807214798e-06,0.4000007776,32.20649965332735,10.0,1.8412589005160137e-07,1.9302793218045625e-05,4.602894738976223e-06,2.4089813847073445e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:52:10,opencl_matmul,415da634-b831-44d6-85cd-12233ef6a442,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.158310114988126,3.474149605431627e-06,1.609661920826767e-06,0.4000036,34.00287356920614,10.0,1.840121107675156e-07,2.0371405186736524e-05,4.600075222293122e-06,2.515549251979716e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:52:15,opencl_matmul,5d089b14-1f54-48df-9f9f-9374e56eaac2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.1607650170335546,3.399280255269185e-06,1.5731836772958995e-06,0.4000002304,33.04720062095494,10.0,1.8429283982189562e-07,1.9821960300703267e-05,4.607128188945353e-06,2.461338132947052e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:52:21,opencl_matmul,ef7f03b5-a1f6-40cf-bd79-0745235f8d43,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.1683166900184005,3.550835012570177e-06,1.6375998159844652e-06,0.4000000036,34.717731889895504,10.0,1.851420491108439e-07,2.089723894016516e-05,4.628372358274647e-06,2.5710753347550645e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:52:26,opencl_matmul,6bb44d4b-31e0-46a4-99eb-66af14c44150,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.197874084929936,3.4426967467557257e-06,1.5663757857472862e-06,0.4000079092,32.90249888364376,10.0,1.880106465699858e-07,2.003973825459581e-05,4.700000935958492e-06,2.4927749837124297e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:52:32,opencl_matmul,f7b0f960-a463-4f4a-9012-128d87749a36,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.3182865490671247,4.032550104716864e-06,1.7394528326705583e-06,0.4000000036,37.218778887010735,10.0,2.017963398171228e-07,2.395224138496133e-05,5.044700244454563e-06,2.919873796923301e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,0.0,0.0,0.0,N,1.0,0.0
2026-05-10T09:52:39,opencl_matmul,53c5013e-bfd6-40d6-8d63-2962a501b460,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.8748953220201656,7.91747700404571e-06,2.7540053174813205e-06,0.4003504096,63.503966714565095,10.0,4.863602150771611e-07,4.469420242259048e-05,1.214800871675834e-05,5.732857135442598e-05,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,22.0,25.6,16.044628143310547,N,1.0,0.0
2026-05-10T09:52:49,opencl_matmul,43c35a9a-a67d-4ab4-8e25-b8dcd0caf1dc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.819118220009841,2.9141575133954436e-05,5.007902234009804e-06,0.40080673336000006,127.3728811657237,10.0,4.784471023162557e-07,0.0001985932144297209,1.1935565718967055e-05,0.00021100722725100418,0.0,Belgium,BEL,brussels capital,,,Linux-5.14.0-503.35.1.el9_5.x86_64-x86_64-with-glibc2.34,3.11.3,3.2.6,1,AMD EPYC-Genoa Processor,1,1 x NVIDIA RTX 6000 Ada Generation,4.347,50.8534,4.0,machine,0.0,47.25,25.5,16.016841888427734,N,1.0,0.0
