M,N,R,runs,avg_time_ms,duration_s,total_energy_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_per_run_kwh,co2_kg
25,25,25,3,0.016,2.235,0.00002666,0.00000019,0.00002166,0.00000481,0.00000889,0.00000368
50,50,50,3,0.017,2.219,0.00002620,0.00000019,0.00002124,0.00000477,0.00000873,0.00000362
100,100,100,3,0.019,2.217,0.00002561,0.00000019,0.00002067,0.00000476,0.00000854,0.00000354
200,200,200,3,0.027,2.226,0.00002527,0.00000019,0.00002029,0.00000479,0.00000842,0.00000349
400,400,400,3,0.073,2.274,0.00002686,0.00000020,0.00002175,0.00000492,0.00000895,0.00000371
800,800,800,3,0.515,2.377,0.00002894,0.00000021,0.00002353,0.00000521,0.00000965,0.00000400
1600,1600,1600,3,3.458,2.810,0.00004490,0.00000048,0.00003244,0.00001198,0.00001497,0.00000620
3200,3200,3200,3,24.813,4.639,0.00010650,0.00000040,0.00009601,0.00001008,0.00003550,0.00001471
