M,N,R,runs,avg_time_ms,duration_s,total_energy_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_per_run_kwh,co2_kg
25,25,25,3,0.019,2.159,0.00002409,0.00000018,0.00001930,0.00000460,0.00000803,0.00000333
50,50,50,3,0.015,2.158,0.00002516,0.00000018,0.00002037,0.00000460,0.00000839,0.00000347
100,100,100,3,0.018,2.161,0.00002461,0.00000018,0.00001982,0.00000461,0.00000820,0.00000340
200,200,200,3,0.031,2.168,0.00002571,0.00000019,0.00002090,0.00000463,0.00000857,0.00000355
400,400,400,3,0.162,2.198,0.00002493,0.00000019,0.00002004,0.00000470,0.00000831,0.00000344
800,800,800,3,1.668,2.318,0.00002920,0.00000020,0.00002395,0.00000504,0.00000973,0.00000403
1600,1600,1600,3,12.167,2.875,0.00005733,0.00000049,0.00004469,0.00001215,0.00001911,0.00000792
3200,3200,3200,3,91.730,5.819,0.00021101,0.00000048,0.00019859,0.00001194,0.00007034,0.00002914
