Config, run1, run2, run3, run4, run5, M, N, R, operation
O2_transpose, 0.000231323, 0.000210858, 0.000237761, 0.000214634, 0.00251261, 100, 100, 100, 5
O2_transpose, 0.0012038, 0.00124305, 0.0011474, 0.00177146, 0.00175482, 500, 500, 500, 5
O2_transpose, 0.00424061, 0.0042292, 0.00405254, 0.0099903, 0.00438011, 1000, 1000, 1000, 5
O2_transpose, 0.0220922, 0.0241162, 0.0228535, 0.0227976, 0.0259252, 2000, 2000, 2000, 5
O2_transpose, 0.087079, 0.0839124, 0.0876889, 0.0891623, 0.0869137, 4000, 4000, 4000, 5
O2_sub_mul, 0.000278419, 0.00028886, 0.000278525, 0.000252681, 0.000241966, 100, 100, 100, 6
O2_sub_mul, 0.0025291, 0.00897982, 0.0150709, 0.00266682, 0.00327715, 500, 500, 500, 6
O2_sub_mul, 0.00647456, 0.00756702, 0.0112332, 0.00685416, 0.0232655, 1000, 1000, 1000, 6
O2_sub_mul, 0.0453248, 0.0607453, 0.0662315, 0.0463673, 0.0449733, 2000, 2000, 2000, 6
O2_sub_mul, 0.152546, 0.159044, 0.158482, 0.151965, 0.154884, 4000, 4000, 4000, 6
O3_add, 0.000191176, 0.000206866, 0.00236789, 0.00019851, 0.000191643, 100, 100, 100, 1
O3_add, 0.00341841, 0.00108698, 0.00130653, 0.0037941, 0.00111175, 500, 500, 500, 1
O3_add, 0.00377524, 0.00334303, 0.00289772, 0.00419944, 0.00290277, 1000, 1000, 1000, 1
O3_add, 0.0195372, 0.0180274, 0.0262452, 0.0180843, 0.0191148, 2000, 2000, 2000, 1
O3_add, 0.0679815, 0.0731154, 0.0732751, 0.0723624, 0.0746982, 4000, 4000, 4000, 1
O3_sub, 0.0082476, 0.00338256, 0.00721292, 0.00150988, 0.00316882, 100, 100, 100, 2
O3_sub, 0.0033632, 0.00567915, 0.00879241, 0.00397367, 0.00536282, 500, 500, 500, 2
O3_sub, 0.00360174, 0.0105225, 0.0028741, 0.00398812, 0.00327976, 1000, 1000, 1000, 2
O3_sub, 0.0218624, 0.0168353, 0.0192189, 0.0192422, 0.0226945, 2000, 2000, 2000, 2
O3_sub, 0.0661054, 0.0734611, 0.0693566, 0.069866, 0.0695646, 4000, 4000, 4000, 2
O3_matmul, 0.000630489, 0.000586177, 0.000558502, 0.000539959, 0.000571194, 100, 100, 100, 3
O3_matmul, 0.0598235, 0.0689164, 0.0341801, 0.0329198, 0.0505869, 500, 500, 500, 3
O3_matmul, 0.233655, 0.213786, 0.238074, 0.225219, 0.228452, 1000, 1000, 1000, 3
O3_matmul, 1.77677, 1.74961, 1.72858, 1.73964, 1.70683, 2000, 2000, 2000, 3
O3_matmul, 13.4949, 14.1271, 14.324, 14.4031, 14.6976, 4000, 4000, 4000, 3
O3_scalar, 0.000214681, 0.00285951, 0.000202081, 0.000243468, 0.00017355, 100, 100, 100, 4
O3_scalar, 0.00102657, 0.00147202, 0.00153105, 0.00406632, 0.00211743, 500, 500, 500, 4
