Config, run1, run2, run3, run4, run5, M, N, R, operation
O2_sub_mul, 0.00232042, 0.00188856, 0.00190393, 0.00189087, 0.00188215, 500, 500, 500, 6
O2_sub_mul, 0.00397148, 0.0038006, 0.0037937, 0.00373405, 0.00373874, 1000, 1000, 1000, 6
O2_sub_mul, 0.0135483, 0.0134837, 0.0135017, 0.0135134, 0.0135428, 2000, 2000, 2000, 6
O2_sub_mul, 0.0515451, 0.0518938, 0.0516494, 0.0515912, 0.0515314, 4000, 4000, 4000, 6
O3_add, 3.91e-05, 3.4972e-05, 3.4644e-05, 3.3381e-05, 3.294e-05, 100, 100, 100, 1
O3_add, 0.000816704, 0.000766178, 0.000744285, 0.000753118, 0.000754139, 500, 500, 500, 1
O3_add, 0.00156645, 0.00131109, 0.00128839, 0.00127818, 0.00130328, 1000, 1000, 1000, 1
O3_add, 0.00616406, 0.00613699, 0.00611669, 0.00612057, 0.00607466, 2000, 2000, 2000, 1
O3_add, 0.0231194, 0.023124, 0.0231337, 0.0231578, 0.0231476, 4000, 4000, 4000, 1
O3_sub, 3.4713e-05, 3.3231e-05, 3.3201e-05, 3.3952e-05, 3.3702e-05, 100, 100, 100, 2
O3_sub, 0.000874313, 0.000748431, 0.000770144, 0.00074793, 0.000736332, 500, 500, 500, 2
O3_sub, 0.00149661, 0.00129729, 0.00125384, 0.00127293, 0.00128527, 1000, 1000, 1000, 2
O3_sub, 0.00597438, 0.00592347, 0.00596178, 0.0059184, 0.005939, 2000, 2000, 2000, 2
O3_sub, 0.0224864, 0.0224336, 0.0224122, 0.0224291, 0.0224441, 4000, 4000, 4000, 2
O3_matmul, 0.000553683, 0.000546653, 0.000537819, 0.000540494, 0.000541516, 100, 100, 100, 3
O3_matmul, 0.0944063, 0.0942726, 0.0942101, 0.0942012, 0.0942189, 500, 500, 500, 3
O3_matmul, 0.773378, 0.773125, 0.773906, 0.773098, 0.773105, 1000, 1000, 1000, 3
O3_matmul, 6.30555, 6.30424, 6.30344, 6.30434, 6.30348, 2000, 2000, 2000, 3
O3_matmul, 51.5526, 51.5557, 51.5604, 51.5531, 51.5545, 4000, 4000, 4000, 3
O3_scalar, 3.8158e-05, 3.3762e-05, 3.2509e-05, 3.1989e-05, 3.1839e-05, 100, 100, 100, 4
O3_scalar, 0.000943988, 0.000812539, 0.000743813, 0.000715261, 0.000704773, 500, 500, 500, 4
O3_scalar, 0.00137543, 0.00113386, 0.00103548, 0.000996278, 0.000999764, 1000, 1000, 1000, 4
O3_scalar, 0.00549363, 0.0053629, 0.00529925, 0.00538489, 0.00537374, 2000, 2000, 2000, 4
O3_scalar, 0.0198914, 0.0199856, 0.0199119, 0.0199674, 0.0201551, 4000, 4000, 4000, 4
O3_transpose, 3.8767e-05, 3.6516e-05, 3.37e-05, 3.3891e-05, 3.3661e-05, 100, 100, 100, 5
O3_transpose, 0.00101636, 0.000798738, 0.000807961, 0.000794431, 0.000797325, 500, 500, 500, 5
O3_transpose, 0.0017182, 0.00143559, 0.00148278, 0.00153967, 0.0014603, 1000, 1000, 1000, 5
O3_transpose, 0.008323, 0.00775464, 0.00783934, 0.00786156, 0.00784488, 2000, 2000, 2000, 5
O3_transpose, 0.0379722, 0.0383847, 0.0395345, 0.0383989, 0.0395441, 4000, 4000, 4000, 5
O3_sub_mul, 7.7799e-05, 7.895e-05, 6.611e-05, 6.8483e-05, 6.6321e-05, 100, 100, 100, 6
O3_sub_mul, 0.00214893, 0.00170944, 0.00171835, 0.00170645, 0.00170126, 500, 500, 500, 6
O3_sub_mul, 0.00360121, 0.00333495, 0.00343481, 0.00333493, 0.00329378, 1000, 1000, 1000, 6
O3_sub_mul, 0.0127066, 0.0125034, 0.012491, 0.0125119, 0.0125559, 2000, 2000, 2000, 6
O3_sub_mul, 0.0502688, 0.0503556, 0.0504038, 0.0506228, 0.0503829, 4000, 4000, 4000, 6
fastmath_add, 0.00012425, 0.000113023, 0.000114524, 0.0001121, 0.0001113, 100, 100, 100, 1
fastmath_add, 0.00276374, 0.002734, 0.00273016, 0.00272281, 0.00273252, 500, 500, 500, 1
fastmath_add, 0.00931145, 0.00928685, 0.00925827, 0.00925297, 0.009269, 1000, 1000, 1000, 1
fastmath_add, 0.0359889, 0.0360031, 0.0359581, 0.0360291, 0.0359463, 2000, 2000, 2000, 1
fastmath_add, 0.141709, 0.141731, 0.141897, 0.141758, 0.141739, 4000, 4000, 4000, 1
fastmath_sub, 0.00011814, 0.000113614, 0.00011173, 0.000114976, 0.000111379, 100, 100, 100, 2
fastmath_sub, 0.00280158, 0.00274354, 0.00273161, 0.00272472, 0.0027347, 500, 500, 500, 2
fastmath_sub, 0.00931717, 0.00927458, 0.00927365, 0.00927515, 0.00928366, 1000, 1000, 1000, 2
fastmath_sub, 0.0359891, 0.0359592, 0.0359798, 0.0360691, 0.0360168, 2000, 2000, 2000, 2
fastmath_sub, 0.141757, 0.141767, 0.141679, 0.141799, 0.141842, 4000, 4000, 4000, 2
fastmath_matmul, 0.004042, 0.00402653, 0.00401225, 0.00403499, 0.00403257, 100, 100, 100, 3
fastmath_matmul, 0.493223, 0.49301, 0.49319, 0.493025, 0.493047, 500, 500, 500, 3
fastmath_matmul, 3.90313, 3.90333, 3.90312, 3.90293, 3.90243, 1000, 1000, 1000, 3
fastmath_matmul, 31.0773, 31.0818, 31.0795, 31.0776, 31.0819, 2000, 2000, 2000, 3
fastmath_matmul, 248.179, 248.133, 248.113, 248.088, 248.089, 4000, 4000, 4000, 3
fastmath_scalar, 0.000100944, 9.4875e-05, 9.3612e-05, 9.6848e-05, 9.3452e-05, 100, 100, 100, 4
fastmath_scalar, 0.00236491, 0.00227534, 0.00224047, 0.00223044, 0.00223499, 500, 500, 500, 4
fastmath_scalar, 0.0074608, 0.00734432, 0.00736434, 0.00730386, 0.00730054, 1000, 1000, 1000, 4
fastmath_scalar, 0.0288873, 0.0287428, 0.0286481, 0.0283843, 0.0285456, 2000, 2000, 2000, 4
fastmath_scalar, 0.11244, 0.112372, 0.112356, 0.112332, 0.112348, 4000, 4000, 4000, 4
fastmath_transpose, 8.8024e-05, 8.3097e-05, 8.2176e-05, 8.1986e-05, 8.1584e-05, 100, 100, 100, 5
fastmath_transpose, 0.00218101, 0.00202354, 0.00199419, 0.00197898, 0.00202535, 500, 500, 500, 5
fastmath_transpose, 0.00643247, 0.00633367, 0.00632907, 0.0063707, 0.00629469, 1000, 1000, 1000, 5
fastmath_transpose, 0.0248719, 0.0248572, 0.0249294, 0.0249328, 0.0249421, 2000, 2000, 2000, 5
fastmath_transpose, 0.103472, 0.10154, 0.104002, 0.100781, 0.103377, 4000, 4000, 4000, 5
fastmath_sub_mul, 0.000215558, 0.000206415, 0.000207917, 0.000209859, 0.000211362, 100, 100, 100, 6
fastmath_sub_mul, 0.00572814, 0.00525119, 0.00525912, 0.00522181, 0.00528336, 500, 500, 500, 6
fastmath_sub_mul, 0.0172532, 0.017206, 0.0172648, 0.0172254, 0.0172817, 1000, 1000, 1000, 6
fastmath_sub_mul, 0.0662863, 0.066415, 0.0665526, 0.0663028, 0.066509, 2000, 2000, 2000, 6
fastmath_sub_mul, 0.262166, 0.261955, 0.262087, 0.262359, 0.261953, 4000, 4000, 4000, 6
native_add, 0.000121625, 0.000113573, 0.000116657, 0.000116457, 0.000112902, 100, 100, 100, 1
native_add, 0.00281217, 0.00279249, 0.00278624, 0.0027738, 0.00277792, 500, 500, 500, 1
native_add, 0.00934734, 0.00928947, 0.00931978, 0.00930458, 0.00931427, 1000, 1000, 1000, 1
native_add, 0.0360758, 0.0360689, 0.0360099, 0.0360621, 0.0360067, 2000, 2000, 2000, 1
native_add, 0.141831, 0.141674, 0.141752, 0.141816, 0.141751, 4000, 4000, 4000, 1
native_sub, 0.000119883, 0.000113834, 0.000115667, 0.000113504, 0.000117068, 100, 100, 100, 2
native_sub, 0.00285312, 0.00279803, 0.00278166, 0.00281776, 0.00277324, 500, 500, 500, 2
native_sub, 0.0093448, 0.00934842, 0.00931432, 0.00934359, 0.00930909, 1000, 1000, 1000, 2
native_sub, 0.0360818, 0.0360948, 0.0359476, 0.0360059, 0.0360838, 2000, 2000, 2000, 2
native_sub, 0.141763, 0.141722, 0.141794, 0.142036, 0.141767, 4000, 4000, 4000, 2
native_matmul, 0.00404017, 0.00401654, 0.00404854, 0.00406959, 0.00407727, 100, 100, 100, 3
native_matmul, 0.50171, 0.502418, 0.501923, 0.502481, 0.49756, 500, 500, 500, 3
native_matmul, 3.95846, 3.9825, 3.97944, 3.98253, 3.97264, 1000, 1000, 1000, 3
native_matmul, 31.7159, 31.6652, 31.6903, 31.69, 31.6998, 2000, 2000, 2000, 3
native_matmul, 252.994, 253.095, 253.048
